MINOS 5.51: optimal solution found.
115 iterations, objective -0.02329392817
Nonlin evals: obj = 251, grad = 250.
xstar[1,1] = 3.2

xstar[1,2] = 1e-06

xstar[1,3] = 1e-06

xstar[1,4] = 1e-06

xstar[1,5] = 1e-06

xstar[2,1] = 0.0399986

xstar[2,2] = 1e-06

xstar[2,3] = 1e-06

xstar[2,4] = 1e-06

xstar[2,5] = 1e-06

xstar[3,1] = 0.0319995

xstar[3,2] = 0.0319995

xstar[3,3] = 0.0319995

xstar[3,4] = 0.0319995

xstar[3,5] = 0.0319995

xstar[4,1] = 0.0399986

xstar[4,2] = 1e-06

xstar[4,3] = 1e-06

xstar[4,4] = 1e-06

xstar[4,5] = 1e-06

xstar[5,1] = 0.0319995

xstar[5,2] = 0.0319995

xstar[5,3] = 0.0319995

xstar[5,4] = 0.0319995

xstar[5,5] = 0.0319995

xstar[6,1] = 0.0399986

xstar[6,2] = 1e-06

xstar[6,3] = 1e-06

xstar[6,4] = 1e-06

xstar[6,5] = 1e-06

xstar[7,1] = 0.0319995

xstar[7,2] = 0.0319995

xstar[7,3] = 0.0319995

xstar[7,4] = 0.0319995

xstar[7,5] = 0.0319995

xstar[8,1] = 0.0399986

xstar[8,2] = 1e-06

xstar[8,3] = 1e-06

xstar[8,4] = 1e-06

xstar[8,5] = 1e-06

xstar[9,1] = 0.0319995

xstar[9,2] = 0.0319995

xstar[9,3] = 0.0319995

xstar[9,4] = 0.0319995

xstar[9,5] = 0.0319995

xstar[10,1] = 0.249996

xstar[10,2] = 1e-06

xstar[10,3] = 1e-06

xstar[10,4] = 1e-06

xstar[10,5] = 1e-06

xstar[11,1] = 0.249996

xstar[11,2] = 1e-06

xstar[11,3] = 1e-06

xstar[11,4] = 1e-06

xstar[11,5] = 1e-06

xstar[12,1] = 0.249996

xstar[12,2] = 1e-06

xstar[12,3] = 1e-06

xstar[12,4] = 1e-06

xstar[12,5] = 1e-06

xstar[13,1] = 0.249996

xstar[13,2] = 1e-06

xstar[13,3] = 1e-06

xstar[13,4] = 1e-06

xstar[13,5] = 1e-06

